lag_time_min,ensemble_msd_um2,msd_std_um2,lag,msd,minutes_lag,
0,0,0,0,0,0,0
3,22.68867024,18.78994185,1,1,66.29086,10
6,51.10633182,38.31682631,2,2,123.433554,20
9,87.14548459,66.43251351,3,3,170.049431,30
12,126.6932093,98.23205779,4,4,209.35063,40
15,168.7699065,132.1869904,5,5,258.05201,50
18,213.7656363,169.7872477,6,6,303.451371,60
21,259.916914,213.0929797,7,7,338.937267,70
24,308.7807176,261.8208242,8,8,364.071506,80
27,359.8574084,318.7740286,9,9,387.253757,90
30,412.9311479,382.7920314,10,10,412.571901,100
33,467.0735161,451.8205655,11,11,433.911008,110
