lag,msd_0,msd_1,msd_2,minutes_lag,ea_msd
1,30.255104003500698,28.454072188219644,28.307585226025207,10,29.00558713924852
2,56.949545572294916,54.48257059922369,53.096748107494996,20,54.842954759671194
3,82.35605416623774,79.2813277973124,76.40816790678808,30,79.34851662344607
4,106.5448643938811,103.22647046537432,98.22995782951162,40,102.66709756292236
5,130.00017148659862,126.24356669263865,119.73267180317117,50,125.32546999413614
6,152.59861876909892,148.876701429173,141.21841077834804,60,147.56457699220664
7,175.0888344343541,171.19956924916082,162.1171596384999,70,169.4685211073383
8,198.35667968669674,191.9515877088061,182.02340929577926,80,190.7772255637607
9,220.5903410858886,212.40259264035464,202.16919196503707,90,211.7207085637601
10,242.95703981403003,232.89771042727256,221.98432919632066,100,232.61302647920775
11,263.7488066573983,253.53093659094208,240.7751386148527,110,252.68496062106433
12,285.554458506654,274.002199478733,259.15215282693663,120,272.9029369374412
13,306.43292368956287,294.99354346194906,277.42834906888913,130,292.95160540680035
14,326.8905417055716,315.7131554031649,295.95081543674894,140,312.8515041818285
15,348.29615161377734,336.47357863651354,314.5078754925376,150,333.0925352476095
16,369.47666629667333,356.12520333056983,332.31888409068216,160,352.6402512393084
17,389.50865327475213,375.886902929703,350.4294929273971,170,371.9416830439507
18,410.17081765776396,395.849855761947,368.23675826167,180,391.41914389379366
19,429.8857931010038,415.8638380307829,385.7215555353001,190,410.4903955556956
20,448.5459488822751,436.2330189193956,402.9451262816506,200,429.2413646944404
21,466.8973383304438,456.595414589293,419.9001060203635,210,447.79761964670007
22,485.3505579662013,477.4089652882764,436.93062619469663,220,466.5633831497248
23,504.9685523955214,498.0412122959393,453.59076043413097,230,485.53350837519724
24,524.3578837301086,517.7516842185872,470.3371855895418,240,504.1489178460792
25,543.2394623077608,537.1821080302532,486.41188928902517,250,522.2778198756797
26,561.5397518841556,556.6590121734941,501.9441247752694,260,540.0476296109731
27,579.7498630878925,575.5186807307741,517.9060212560466,270,557.7248550249045
28,597.7587204345817,594.6534424743322,533.7246988488254,280,575.3789539192466
29,616.201689301203,614.1739150801549,549.3275544064031,290,593.234386262587
30,634.3123579292575,635.134532566318,563.9449282702998,300,611.1306062552917
31,652.5924144172892,655.8280830603139,579.0610067304669,310,629.16050140269
32,670.4017037619143,675.8186504133716,594.1205971791928,320,646.7803171181596
33,689.1801231816146,695.5966006517234,609.6263103951902,330,664.8010114095094
34,707.1839026533327,715.7276436087635,625.0628535420117,340,682.658133268036
35,725.2566095539214,735.7490367440363,640.193977705428,350,700.3998746677953
36,743.7308819486865,755.8137047119359,656.4071501230982,360,718.6505789279068
37,761.3067521941144,775.7591993109166,672.2251630002397,370,736.4303715017569
38,778.7624541745769,795.6190496744236,688.3061241468844,380,754.2292093319617
39,796.178316448079,815.1305543300222,703.8302697078574,390,771.7130468286529
40,813.7708817644698,835.2616854703608,719.2612633701935,400,789.4312768683413
41,830.8667480178201,854.8243947086428,735.0764705543295,410,806.9225377602642
42,848.230982728473,874.9498263431,750.9965859306352,420,824.7257983340695
43,865.7473884792716,895.4441748503086,766.3063282371112,430,842.4992971888972
44,882.6326239385431,917.1778329649758,780.7903929936421,440,860.2002832990537
45,898.3455772028032,938.948590276105,795.18946469489,450,877.4945440579327
46,915.1461257110457,961.0444217430199,809.3259942712072,460,895.1721805750909
47,931.9259376658532,983.3946511445549,824.021935457868,470,913.114174756092
48,948.6541677979321,1005.0297386118456,838.653982146868,480,930.7792961855484
49,964.7492513766531,1026.4940922155301,852.6834028137649,490,947.975582135316
50,980.7900694754466,1048.4808748872263,866.1553711171697,500,965.1421051599474
51,996.8801305797858,1071.7103991416732,880.222772663819,510,982.9377674617593
52,1013.2784895089977,1094.5560117821988,894.4245933538864,520,1000.7530315483609
53,1029.887063977156,1117.1680881331918,908.8368291337902,530,1018.6306604147127
54,1045.393221904161,1139.678071805457,922.1082816719389,540,1035.7265251271856
55,1061.0281392703557,1162.13202426909,935.3030786413287,550,1052.8210807269247
56,1077.582259320981,1184.8801340561852,948.1358753030481,560,1070.1994228934047
57,1093.734035049715,1207.9574930776776,960.7286184441755,570,1087.4733821905227
58,1109.352908849565,1230.8713341029604,973.7919485723047,580,1104.67206384161
59,1125.4006544610565,1253.473797127535,987.4033115507063,590,1122.0925877130992
60,1140.7561050035101,1276.260346475415,1000.9050841605446,600,1139.3071785464897
61,1156.953061235507,1298.7576835367645,1014.5807785232355,610,1156.7638410985023
62,1172.777496812505,1321.0515075217254,1027.9525889526165,620,1173.9271977622823
63,1188.1413929236803,1343.8203805667997,1041.5777367242779,630,1191.1798367382526
64,1204.4501035766148,1367.919217587788,1054.8412589559848,640,1209.0701933734624
65,1220.444816751155,1392.1269372025492,1067.641125993704,650,1226.7376266491362
66,1237.8197177161128,1417.2268988835367,1080.6501763007884,660,1245.232264300146
67,1255.541218675682,1443.1013769087047,1093.213242294403,670,1263.9519459595967
68,1273.3578807032868,1469.505838547591,1105.9691812325932,680,1282.944300161157
69,1291.202198287392,1494.9198482902636,1118.2637278954799,690,1301.4619248243787
70,1307.8597965985598,1520.4061442011175,1131.215714508292,700,1319.8272184359896
71,1324.1028258737938,1545.3759796412783,1144.5516246122886,710,1338.010143375787
72,1340.2804473172423,1570.9151826830457,1157.7110957565383,720,1356.3022419189422
73,1356.4349303283864,1596.0961926481875,1172.0693424724252,730,1374.866821816333
74,1371.7584885775316,1620.7868565517865,1187.390872712099,740,1393.3120726138056
75,1386.9002531865972,1645.4174333134843,1202.1830468735347,750,1411.500244457872
76,1401.9105547719112,1670.0624577316328,1216.519658120075,760,1429.4975568745397
77,1416.9800188074041,1694.3648479751796,1230.0913824715883,770,1447.1454164180575
78,1432.5643886712535,1719.1268746240225,1243.5934954354734,780,1465.0949195769165
79,1448.3025632578276,1743.929555460384,1256.4523196215077,790,1482.8948127799065
80,1465.288220728947,1768.6352589965693,1269.693145009325,800,1501.2055415782804
81,1481.9205097208985,1793.1108784766009,1282.4483801123522,810,1519.1599227699505
82,1498.6599852966083,1817.090231935134,1295.928990721291,820,1537.226402651011
83,1515.8727469497499,1842.0168959597556,1309.2064731414378,830,1555.6987053503144
84,1532.0913887632403,1866.11797517511,1322.6656047409397,840,1573.6249895597632
85,1548.9985671763295,1890.8796042426166,1335.2587653064152,850,1591.712312241787
86,1565.0960526486792,1915.849670024245,1348.0097619994913,860,1609.6518282241384
87,1581.982625280975,1941.1258157961815,1361.3746383933117,870,1628.1610264901562
88,1598.0231558555006,1966.314026011262,1374.002692465617,880,1646.1132914441266
89,1614.3543216311302,1990.8010168827427,1386.4637807445122,890,1663.8730397527952
90,1631.0839669185273,2014.9067079746455,1399.2258027550915,900,1681.7388258827548
91,1647.5129049498107,2039.6430563123486,1412.1173081190202,910,1699.7577564603932
92,1663.296723049122,2063.9030708281784,1426.046926218869,920,1717.748906698723
93,1679.1590016114794,2087.1129001530326,1440.031414906401,930,1735.4344388903046
94,1695.5334931947516,2110.4249310211703,1453.03264132926,940,1752.997021848394
95,1712.1125486535802,2134.207113386797,1465.0326065833228,950,1770.4507562079
96,1728.4904793007197,2157.993600350153,1477.3338403615007,960,1787.939306670791
97,1744.3503137343157,2181.2065611108037,1488.2456721615154,970,1804.6008490022116
98,1760.9102991826887,2204.0745671517298,1498.730811518227,980,1821.238559284215
99,1776.5480539952196,2226.895294166054,1509.38245842697,990,1837.6086021960812
100,1793.2322723882223,2249.361522563547,1520.3218559320042,1000,1854.3052169612577
101,1810.0136590894797,2271.4745508736783,1531.6495759513064,1010,1871.0459286381547
102,1826.7311443689239,2293.7037879126788,1543.2940510058982,1020,1887.9096610958334
103,1843.1724321324136,2314.1651916984742,1554.9398066028305,1030,1904.0924768112397
104,1859.0869946759256,2335.2739327717013,1567.03765243625,1040,1920.4661932946256
105,1874.9138537586598,2356.6868760123416,1579.3919709528602,1050,1936.9975669079538
106,1889.6422789703493,2379.554113365981,1591.4844669810072,1060,1953.5602864391124
107,1903.8842841133371,2402.9556364755263,1604.818147711952,1070,1970.5526894336053
