s,replicate,time_steps,time,event,t_end_steps
000,200,222000,37000.0,1,300000
000,105,250000,41666.666666666664,0,300000
000,212,159000,26500.0,1,300000
000,209,136500,22750.0,1,300000
000,227,250000,41666.666666666664,0,300000
000,218,231000,38500.0,1,300000
000,221,217000,36166.666666666664,1,300000
000,102,250000,41666.666666666664,0,300000
000,224,152000,25333.333333333332,1,300000
000,206,58000,9666.666666666666,1,300000
000,203,117000,19500.0,1,300000
000,215,144000,24000.0,1,300000
000,126,194000,32333.333333333332,1,300000
000,123,0,0.0,1,300000
000,117,27000,4500.0,1,300000
000,108,250000,41666.666666666664,0,300000
000,120,142500,23750.0,1,300000
000,129,250000,41666.666666666664,0,300000
000,114,11500,1916.6666666666665,1,300000
000,111,13500,2250.0,1,300000
000,207,19000,3166.6666666666665,1,300000
000,201,0,0.0,1,300000
000,204,0,0.0,1,300000
000,210,123500,20583.333333333332,1,300000
000,213,250000,41666.666666666664,0,300000
000,100,250000,41666.666666666664,0,300000
000,216,250000,41666.666666666664,0,300000
000,225,31000,5166.666666666666,1,300000
000,219,14000,2333.333333333333,1,300000
000,109,212000,35333.33333333333,1,300000
000,118,250000,41666.666666666664,0,300000
000,112,250000,41666.666666666664,0,300000
000,222,180500,30083.333333333332,1,300000
000,228,250000,41666.666666666664,0,300000
000,106,250000,41666.666666666664,0,300000
000,103,250000,41666.666666666664,0,300000
000,115,250000,41666.666666666664,0,300000
000,124,250000,41666.666666666664,0,300000
000,121,250000,41666.666666666664,0,300000
000,127,250000,41666.666666666664,0,300000
000,208,250000,41666.666666666664,0,300000
000,202,250000,41666.666666666664,0,300000
000,223,250000,41666.666666666664,0,300000
000,214,250000,41666.666666666664,0,300000
000,211,22000,3666.6666666666665,1,300000
000,217,250000,41666.666666666664,0,300000
000,226,250000,41666.666666666664,0,300000
000,220,250000,41666.666666666664,0,300000
000,205,250000,41666.666666666664,0,300000
000,107,200000,33333.33333333333,1,300000
000,119,86000,14333.333333333332,1,300000
000,229,250000,41666.666666666664,0,300000
000,122,43000,7166.666666666666,1,300000
000,104,250000,41666.666666666664,0,300000
000,113,97000,16166.666666666666,1,300000
000,128,75000,12500.0,1,300000
000,125,18500,3083.333333333333,1,300000
000,116,3500,583.3333333333333,1,300000
000,110,250000,41666.666666666664,0,300000
000,101,46000,7666.666666666666,1,300000
005,200,250000,41666.666666666664,0,300000
005,227,250000,41666.666666666664,0,300000
005,224,250000,41666.666666666664,0,300000
005,105,245000,40833.33333333333,1,300000
005,212,250000,41666.666666666664,0,300000
005,102,250000,41666.666666666664,0,300000
005,221,250000,41666.666666666664,0,300000
005,209,250000,41666.666666666664,0,300000
005,215,165000,27500.0,1,300000
005,218,250000,41666.666666666664,0,300000
005,206,250000,41666.666666666664,0,300000
005,203,250000,41666.666666666664,0,300000
005,108,250000,41666.666666666664,0,300000
005,123,250000,41666.666666666664,0,300000
005,114,250000,41666.666666666664,0,300000
005,120,250000,41666.666666666664,0,300000
005,117,250000,41666.666666666664,0,300000
005,111,250000,41666.666666666664,0,300000
005,129,250000,41666.666666666664,0,300000
005,126,250000,41666.666666666664,0,300000
005,207,250000,41666.666666666664,0,300000
005,210,217000,36166.666666666664,1,300000
005,213,250000,41666.666666666664,0,300000
005,204,250000,41666.666666666664,0,300000
005,201,250000,41666.666666666664,0,300000
005,100,250000,41666.666666666664,0,300000
005,118,250000,41666.666666666664,0,300000
005,109,159500,26583.333333333332,1,300000
005,225,250000,41666.666666666664,0,300000
005,103,250000,41666.666666666664,0,300000
005,106,250000,41666.666666666664,0,300000
005,115,250000,41666.666666666664,0,300000
005,228,250000,41666.666666666664,0,300000
005,216,250000,41666.666666666664,0,300000
005,219,250000,41666.666666666664,0,300000
005,222,56000,9333.333333333332,1,300000
005,112,220000,36666.666666666664,1,300000
005,124,123000,20500.0,1,300000
005,127,250000,41666.666666666664,0,300000
005,121,250000,41666.666666666664,0,300000
005,223,250000,41666.666666666664,0,300000
005,217,250000,41666.666666666664,0,300000
005,211,250000,41666.666666666664,0,300000
005,226,250000,41666.666666666664,0,300000
005,214,250000,41666.666666666664,0,300000
005,205,250000,41666.666666666664,0,300000
005,208,250000,41666.666666666664,0,300000
005,202,10000,1666.6666666666665,1,300000
005,220,250000,41666.666666666664,0,300000
005,110,250000,41666.666666666664,0,300000
005,101,250000,41666.666666666664,0,300000
005,119,250000,41666.666666666664,0,300000
005,122,7500,1250.0,1,300000
005,113,250000,41666.666666666664,0,300000
005,116,245500,40916.666666666664,1,300000
005,125,0,0.0,1,300000
005,104,250000,41666.666666666664,0,300000
005,229,246500,41083.33333333333,1,300000
005,128,119500,19916.666666666664,1,300000
005,107,250000,41666.666666666664,0,300000
010,200,250000,41666.666666666664,0,300000
010,206,250000,41666.666666666664,0,300000
010,203,250000,41666.666666666664,0,300000
010,224,57000,9500.0,1,300000
010,209,250000,41666.666666666664,0,300000
010,105,250000,41666.666666666664,0,300000
010,218,250000,41666.666666666664,0,300000
010,215,250000,41666.666666666664,0,300000
010,102,250000,41666.666666666664,0,300000
010,221,196000,32666.666666666664,1,300000
010,227,250000,41666.666666666664,0,300000
010,212,250000,41666.666666666664,0,300000
010,114,250000,41666.666666666664,0,300000
010,126,250000,41666.666666666664,0,300000
010,129,250000,41666.666666666664,0,300000
010,120,250000,41666.666666666664,0,300000
010,123,250000,41666.666666666664,0,300000
010,108,163500,27250.0,1,300000
010,111,250000,41666.666666666664,0,300000
010,117,250000,41666.666666666664,0,300000
010,204,250000,41666.666666666664,0,300000
010,207,250000,41666.666666666664,0,300000
010,213,250000,41666.666666666664,0,300000
010,210,162000,27000.0,1,300000
010,201,250000,41666.666666666664,0,300000
010,219,250000,41666.666666666664,0,300000
010,216,250000,41666.666666666664,0,300000
010,103,90000,15000.0,1,300000
010,222,250000,41666.666666666664,0,300000
010,228,250000,41666.666666666664,0,300000
010,118,250000,41666.666666666664,0,300000
010,100,250000,41666.666666666664,0,300000
010,109,7500,1250.0,1,300000
010,106,250000,41666.666666666664,0,300000
010,112,245000,40833.33333333333,1,300000
010,115,250000,41666.666666666664,0,300000
010,225,250000,41666.666666666664,0,300000
010,127,250000,41666.666666666664,0,300000
010,124,120000,20000.0,1,300000
010,121,250000,41666.666666666664,0,300000
010,202,250000,41666.666666666664,0,300000
010,214,250000,41666.666666666664,0,300000
010,208,250000,41666.666666666664,0,300000
010,211,250000,41666.666666666664,0,300000
010,226,250000,41666.666666666664,0,300000
010,220,250000,41666.666666666664,0,300000
010,217,250000,41666.666666666664,0,300000
010,205,250000,41666.666666666664,0,300000
010,223,250000,41666.666666666664,0,300000
010,119,250000,41666.666666666664,0,300000
010,122,250000,41666.666666666664,0,300000
010,125,250000,41666.666666666664,0,300000
010,104,250000,41666.666666666664,0,300000
